question_no,question,mark_scheme,total_marks,AO1_Knowledge_and_understanding,AO2_Analysis,AO3_Evaluation,paper,id
2,"With the help of a diagram, assess the extent to which a government can intervene to correct market failure caused by negative externalities in air travel.","Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.

Indicative content:
Responses may include:

AO1 Knowledge and Understanding and AO2 Analysis:
• Market failure regarding this question would relate to allocative inefficiency. 
• Market failure can be explained by defining allocative efficiency and linking this to the requirement to allocate resources to maximise consumer satisfaction. 
• This can be supported by a diagram illustrating a level of output where AR = MC which is consistent with an outcome that achieves allocative efficiency.
• Negative externalities occur when the consumption/production of a good produces a cost to society which is greater than that incurred by an individual consumer/producer. 
• This is sometimes described as a negative ‘spill-over’ effect.
• Forms of government intervention might include: the use of taxation; the use of negative advertising, direct regulation.
• A clearly labelled, accurate diagram can be used to show the impact of a negative externality on the level of output and the welfare loss will be identified.
• The diagram could show the market equilibrium point which does not recognize the existence of a negative externality and may compare this with the allocatively efficient level of flight use when the negative externality is taken into account.
• One type of intervention might involve the use of taxation by a government. A tax will increase the cost of air travel which will decrease demand. 
• A decrease in demand will decrease the equilibrium number of flights and achieve allocative efficiency.
• A government might use negative advertising to decrease demand. A decrease in demand will lead to fewer flights, volume of air travel will fall and allocative efficiency might then be achieved.

AO3 Evaluation:
• A government might introduce a tax; however, it is difficult to measure the precise level of taxation required.
• Also, the impact of a tax on price and demand in some circumstances takes a long time to become effective.
• Advertising is often costly, and it is not always certain that it will have a sufficiently persuasive effect to ensure the correct level of consumption is reached.
• It is possible to show that government intervention can reduce the level of inefficiency caused by the existence of negative externalities, 
  but it is not clear whether the net effect of government intervention will always be positive. 
• Some types of intervention will be more effective than others depending on the nature of the good/service under consideration.
• Accept all valid responses.",20,14,14,6,9708_m23_ms_42,9708_m23_ms_42_2
3,"Evaluate the statement that some firms in oligopoly markets choose to collude rather than engage in price competition, leading to higher prices and a less efficient allocation of resources.","Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.

Indicative content:
Responses may include:

AO1 Knowledge and Understanding and AO2 Analysis:
• The key characteristics of an oligopoly market should be described.
• Collusion should be explained and compared to the alternative of price competition.
• Some explanation of what is meant by an efficient allocation of resources.
• Analysis of the links between collusion, higher prices, and allocative efficiency should be provided.
• Analysis of alternative price and non-price competitive approaches by oligopolistic firms should be discussed.
• A large, dominant organization might have less incentive to operate efficiently and X inefficiencies might occur.

AO3 Evaluation:
• Colluding oligopolistic firms might argue that an increase in size will lead to more opportunities to provide a wide range of goods and therefore more consumer choice.
• It is possible that collusion will lead to an increase in dynamic efficiency, and this increase would allow long-term more investment and ultimately lower prices. A supporting diagram can be provided.
• Such a decision will enable the firms to benefit from economies of scale. For example, reducing managerial inefficiencies. This could also lead to lower prices.
• Any potential negative effects of collusion can be accounted for by government intervention and regulation after the collusion has taken place.
• A conclusion should refer to the preceding analysis and then make some attempt to make a judgement whether, on balance, collusion will have a net negative effect on prices and/or efficiency.
• Accept all valid responses.",20,14,14,6,9708_m23_ms_42,9708_m23_ms_42_3
4,Evaluate the statement that expenditure-reducing policies will reduce a balance of payments deficit but will also cause significant unemployment.,"Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.

Indicative content:
Responses may include:

AO1 Knowledge and Understanding and AO2 Analysis:
• Expenditure-reducing policies will be defined by the relationship between changes in aggregate demand and changes in the demand for imports.
• Examples of expenditure-reducing policies such as an increase in interest rates or a deflationary fiscal policy will be provided.
• A consideration of and an explanation of the type of unemployment that might occur.
• Analysis of the use of specific policy instruments and their impact on reducing a balance of payments deficit should be provided.
• Analysis of the potential impact of expenditure-reducing policies on unemployment will be considered. 
• For example, an increase in interest rates will decrease investment expenditure, decrease aggregate spending which will include spending on imports, therefore helping to reduce a balance of payments deficit.

AO3 Evaluation:
• The impact of expenditure-reducing policies will depend upon the state of the economy when these policies are introduced. 
• For example, raising interest rates when an economy is experiencing high levels of inflation and a positive output gap will have a limited effect on unemployment.
• If contractionary fiscal policies are used, the impact on unemployment will depend upon the main cause of the existing level of unemployment.
• Contractionary demand-side policies might also be accompanied by positive supply-side policies which might simultaneously reduce structural unemployment.
• Expenditure-reducing policies might lead to the substitution of domestically produced goods for goods which were previously imported.
• Accept all valid responses.",20,14,14,6,9708_m23_ms_42,9708_m23_ms_42_4
5,Assess the impact of globalization on the standard of living in low-income countries.,"Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 14 marks. AO3 out of 6 marks.

Indicative content:
Responses may include:

AO1 Knowledge and Understanding and AO2 Analysis:
• Globalisation would promote free trade, free movement of capital and labour, and the transfer of technology. Cultural and political ties would be strengthened.
• Key characteristics of low-income countries would include: low levels of productivity; high dependency ratios; low GDP per capita; significant dependence on producing and exporting primary goods.
• Low living standards are generally associated with: high poverty levels; inequality; poor housing, education, and health; and rapid population growth.
• An improvement in living standards is very closely linked with an improvement in economic performance. 
• An improvement in economic performance is measured by increases in GDP per capita and changes in productivity which enable changes in GDP to be achieved.
• Globalization through trade and technology transfer should provide opportunities to create more real wealth.
• Higher levels of tax revenue are likely to be received by a low-income country’s government. 
• This will enable more expenditure on health, housing, and education as well as increased access to more consumer goods. These improvements are generally associated with a rise in the standard of living.

AO3 Evaluation:
• The links between globalisation, GDP, and an increase in living standards in low-income countries are not clear. Sometimes, labour is exploited by more advanced, higher-income countries.
• Globalisation can lead to economic dependency and significant imbalances of trade which, in the long run, might have a negative effect on living standards in low-income countries.
• Higher skilled work might be provided through the global transfer of labour; therefore, training of the indigenous population does not take place.
• In some cases, individual firms in low-income countries might be outcompeted and go out of business. Unemployment might then rise, and living standards might fall.
• In conclusion, it is clear that there is a potential role for globalisation to improve the standard of living, but this will depend on many factors which have been referred to above, some of which might have an overall negative impact.
• Also, it is very important to ensure that an appropriate measure of the standard of living is used, one which does not rely entirely on the material benefits gained by globalisation.
• Accept all valid responses.",20,14,14,6,9708_m23_ms_42,9708_m23_ms_42_5
2(a),Explain the functions of price in resource allocation and consider the importance of these functions in relation to the potential effectiveness of a market economy.,"Follow the point-based marking guidance at the top of this mark scheme and award:
• up to 3 marks for AO1 Knowledge and understanding
• up to 3 marks for AO2 Analysis
• up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)
A clear knowledge and understanding of at least two functions of price in resource allocation:
• rationing (1)
• signalling (transmission of preferences) (1)
• incentivising (1)
Two functions well explained can gain 3 marks; 1 function explained can achieve a maximum of 1 mark.

AO2 Analysis (max 3 marks)
An analysis of the importance of rationing (1), signalling (transmission of preferences) (1) and incentivising (1) to the operation of a market economy. Note: this must be in the context of a market economy.

AO3 Evaluation (max 2 marks)
Offers a valid judgement on the importance of at least two functions in relation to the potential effectiveness of a market economy (1) to reach a justified conclusion. (1)",8,3,3,2,9708_m23_ms_22,9708_m23_ms_22_2(a)
2(b),Assess whether all market economies should become mixed economies.,"Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.

Indicative content
Responses may include:

AO1 Knowledge and understanding and AO2 Analysis
• NO: Explanations of why market economies should remain as they are,
e.g., because there is no (or minimal) government intervention, decisions are taken on the basis of demand and supply, competition is encouraged and so production is more efficient, and consumers and producers act on their own self-interest.

• YES: Explanations of why market economies should become mixed economies,
e.g., because in a market economy there is non-provision of public goods, the under-consumption of merit goods, the over-consumption of demerit goods and the existence of markets where prices are too low, too high, or too unstable.

A one-sided response can only gain a maximum of Level 2.

AO3 Evaluation
Evaluation of whether all market economies should become mixed economies leading to a justified conclusion.
Points to consider may include whether governments should provide public goods, merit goods, reduce the provision of demerit goods, intervene in the price mechanism, etc.
A one-sided response cannot gain any marks for evaluation.
Accept all valid responses.
",12,8,8,4,9708_m23_ms_22,9708_m23_ms_22_2(b)
3(a),Explain the possible economic reasons for inequality of income and consider whether inequality of income can benefit an economy.,"Follow the point-based marking guidance at the top of this mark scheme and award:
• up to 3 marks for AO1 Knowledge and understanding
• up to 3 marks for AO2 Analysis
• up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)
A clear knowledge and understanding of at least two possible economic reasons for inequality of income, such as:
• Whether a person is in employment or unemployed (1)
• The skills, qualifications, and experience of different workers in various occupations and economic sectors (1)
• Whether workers are employed in the public sector or the private sector (1)
• Whether they are employed full-time or part-time (1)
• The provision of transfer payments (1)
• The level and type of taxation (1)

N.B. The question does not stipulate how many reasons should be referred to, so two reasons well explained can gain up to 3 marks. 1 reason explained can achieve a maximum of 1 mark.

AO2 Analysis (max 3 marks)
The focus of this analysis must be on whether income inequality generates benefits to an economy or not.
Points may include:
• Incentivising workers leading to higher levels of productivity
• Encourages enterprise
• Encourages workers to retrain/reskill
• Demotivates those on the lowest incomes and an increase in crime
• Increased government spending on transfer payments leading to an opportunity cost

AO3 Evaluation (max 2 marks)
Offers a valid judgement on the extent to which inequality of income can benefit an economy (1) to reach a conclusion. (1)",8,3,3,2,9708_m23_ms_22,9708_m23_ms_22_3(a)
3(b),"With the help of a diagram, assess whether the introduction of a minimum price in a market can be justified.","Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.

Indicative content
Responses may include:

AO1 Knowledge and understanding and AO2 Analysis
• Diagram of a minimum price in a market, correctly labelled with an equilibrium price and an equilibrium quantity, showing the existence of a minimum price above what would be the case with no government intervention.
• Explanation of the potential advantages and benefits of a minimum price, such as making the prices of demerit goods more expensive to discourage consumption and protecting the incomes of producers in that market.
• Explanation of the potential disadvantages and limitations of a minimum price, such as the creation of excess supply and the greater likelihood of producers becoming less efficient, and of why the introduction of a minimum price might be ineffective.

Note: Omission of a diagram/inaccurate diagram can only achieve a maximum of Level 2.
A one-sided response can only gain a maximum of Level 2.

AO3 Evaluation
• Evaluation of the potential effectiveness of the introduction of a minimum price in a market.
• Evaluation may contain an assessment of alternative policies but may only be rewarded if the advantages and disadvantages of minimum pricing policy have been discussed.
• In conclusion, whether the introduction of a minimum price in a market can be justified.

A one-sided response cannot gain any marks for evaluation.
Accept all valid responses.",12,8,8,4,9708_m23_ms_22,9708_m23_ms_22_3(b)
4(a),Explain the circular flow of income in a closed economy and consider the extent to which the circular flow of income changes as an economy becomes an open economy.,"Follow the point-based marking guidance at the top of this mark scheme and award:
• up to 3 marks for AO1 Knowledge and understanding
• up to 3 marks for AO2 Analysis
• up to 2 marks for AO3 Evaluation.

AO1 Knowledge and understanding (max 3 marks)
A clear knowledge and understanding that the circular flow of income in a closed economy involves households, firms, and the government (1) and has injections of I and G and leakages/withdrawals of S and T (1), so that equilibrium income is where I + G = S + T (1).

AO2 Analysis (max 3 marks)
An analysis of how the circular flow of income changes as an economy becomes an open economy, with the introduction of participation in the international economy (1) through the injection of X and the leakage/withdrawal of M (1), so that equilibrium income (is) (now becomes) where I + G + X = S + T + M (1).

AO3 Evaluation (max 2 marks)
Offers a valid judgement on the extent to which the circular flow of income changes as an economy becomes an open economy depending on the importance of international net trade (1) to reach a conclusion. (1).",8,3,3,2,9708_m23_ms_22,9708_m23_ms_22_4(a)
4(b),Assess whether the consequences of economic growth for an economy are always positive.,"Use Table A: AO1 Knowledge and understanding and AO2 Analysis and Table B: AO3 Evaluation to mark candidate responses to this question.
AO1 and AO2 out of 8 marks. AO3 out of 4 marks.

Indicative content
Responses may include:

AO1 Knowledge and understanding and AO2 Analysis
• The positive consequences of economic growth: an improvement in the standard of living, a reduction in the rate of unemployment, an increase in incomes, an increase in the level of aggregate demand, a possible reduction in income inequality, higher tax revenues which a government could spend on improving public services (such as education and healthcare), and an increase in business confidence leading to greater investment.
• The negative consequences of economic growth: a possible depletion of non-renewable natural resources and damage to the environment, such as through various types of pollution, an unequal sharing of the benefits of economic growth among a population leading to an increase in income inequality, and a possible reduction in the quality of life of people through longer working hours and a reduction in the amount of leisure time, plus a shift towards more capital-intensive production. Answers may also refer to the dangers of inflationary pressure.

A one-sided response can only gain a maximum of Level 2.

AO3 Evaluation
Points to consider may include:
• The degree to which the potential benefits of economic growth are equally shared among a population.
• The extent to which any shift towards more capital-intensive production affects the level of unemployment.
• Whether long-term economic growth brings about a short-term cost as resources are used to produce capital goods rather than consumer goods.
• The extent to which the economic growth is sustainable.
• Which leads to a justified conclusion on whether the consequences of economic growth for an economy are always positive.

A one-sided response cannot gain any marks for evaluation.
Accept all valid responses.",12,8,8,4,9708_m23_ms_22,9708_m23_ms_22_4(b)
